,0
0,Stuttgart
1,Hamburg
2,Charlottenburg
3,München
4,Berlin
5,Miinchen
6,Grand Cayman
7,"Wien, Osterreich, Firmenbuchnummer FN 510598 f"
8,"Division of Corporations, Nr. 3546898"
9,"Grand Cayman, Caymaninseln, Registrar of Companies, Nr. HS-369962"
10,"Luxemburg, GroBherzogtum Luxemburg, Handelsregister (RCS), Nr. B253778"
11,"London, Vereinigtes Kénigreich"
12,"Pontresina, Schweiz"
13,"George Town, Registrar of Companies, Nr. 115057"
14,"George Town, Kaimaninseln, Registrar of Companies, Nr. 107771"
15,"George Town, Kaimaninseln, Registrar of Companies, Nr. 116814"
16,"George Town, Kaimaninseln, Registrar of Companies, Nr. 107770"
17,"George Town, Kaimaninsein, Registrar of Companies, Nr. 107769"
18,"George Town, Kaimaninseln, Registrar of Companies, Nr. 381910"
19,Luxemburg
20,"Lissabon, Portugal"
21,Diisseldorf
22,Damme
23,"Tortola, British Virgin Islands"
24,Hong Kong
25,Icking
26,"Riyadh, Saudi-Arabien"
27,"Talinn, Estland"
28,Bamberg
29,Munchen
30,Essen
31,Dusseldorf
32,Augsburg
33,Alfter
34,Schwabach
35,Hofheim am Taunus
36,Rosenheim
37,
38,Frankfurt am Main
39,Wien/Osterreich
40,Braunschweig
41,Magdeburg
42,"Oslo, Norwegen"
43,"Nikosia, Zypern"
44,"Garching b. Miinchen, Landkreis Munchen"
45,Mannheim
46,Karlsruhe
47,Sankt Augustin
48,Minster
49,Mulheim an der Ruhr
50,Viersen
51,Neuss
52,Schwalmtal
53,KéIn
54,Moritzburg
55,Dresden
56,Bertrange
57,Oxford
58,London
59,Milheim an der Ruhr
60,Munich
61,Stavanger
62,Adendorf
63,Greven
64,Munsbach
65,Konigstein im Taunus
66,Bissingen
67,Dischingen
68,Donauw6rth
69,Nirnberg
70,Singapur
71,"Ztirich, Schweiz"
72,Fiirth
73,Hettenshausen
74,Zossen
75,Antdorf
76,Bonn
77,Ottobrunn
78,Landshut
79,"Marbella, Spanien"
80,Minchen
81,Konstanz
82,Starnberg
83,Andechs
84,Bad Vilbel
85,Ljubljana
86,Heilbronn
87,Hollfeld
88,Vilshofen
89,Butzbach-Ebergéns
90,Schweiz/Switzerland
91,Landsberg am Lech
92,Wiesbaden
93,Wuppertal
94,"San Francisco, USA"
95,Koln
96,Freiburg im Breisgau
97,"Ottobrunn, Landkreis Munchen"
98,Schmallenberg
99,Rehau
100,Friedrichshafen
101,Aachen
102,Pohlheim
103,K\u00e9ln
104,Baesweiler
105,Munsbach (Luxemburg)
106,Berkeley (USA)
107,Herzogenrath
108,Bergen (Norwegen)
109,Bielefeld
110,Helsinki (Finnland)
111,Battenberg
112,Paris
113,Rottach-Egern
114,Hannover
115,"Friedrich-Ebert-Str. 21, 33102 Paderborn"
116,"OpferfeldstraRe 6, 321300 Enger"
117,Kaiserslautern
118,Düsseldorf
119,New York
120,"Hertsliya, Israel"
121,"Raanana, Israel"
122,"Douglas, Isle of Man, IM99 1 RZ"
123,Delaware
124,"Amsterdam, Niederlande"
125,"London, Grofbritannien"
126,"Debica, Polen"
127,"Oakland, Ca.94618, USA"
128,Rertin
129,"St Peter Port, Guernsey"
130,Niirmberg
131,"Grafelfing, Landkreis Minchen"
132,"London, Vereinigtes K6nigreich"
133,Aschau f. Chiemgau
134,Langenzenn
135,Leinburg
136,Niimberg
137,Wickede (Ruhr)
138,"Delaware, USA"
139,"Djursholm, Schweden"
140,"Gamprin-Bendern, Liechtenstein"
141,"Madrid, Spanien"
142,"Al Maryah Island, Abu Dhabi, Vereinigte Arabische Emirate"
143,London (Vereinigtes Konigreich)
144,Hutthurm
145,Flensburg
146,Kiel
147,Weinheim
148,Leipzig
149,Minchen / Munich
150,Mainz
151,Bad Soden am Taunus
152,Soest
153,Magstadt
154,Aalen
155,73434 Aalen
156,Haslach
157,Grünwald
158,Offenbach am Main
159,Reinheim
160,"Wilmington, Delaware, USA"
161,Recklinghausen
162,"New York, USA"
163,"Stockholm, Schweden"
164,"Lewes, Delaware, USA"
165,Cologne
166,"Eching, Landkreis Freising"
167,"Santa Monica, Kalifornien, USA"
168,"Amman, Jordanien"
169,Meerbusch
170,"Road Town, Tortola, Britische Jungferninseln"
171,D\u00fcsseldorf
172,"Providence RIL, USA"
173,"London, United Kingdom"
174,Haibach
175,Metelen
176,Ratingen
177,Velbert
178,"Edinburgh, UK"
179,Zurich
180,Bitburg
181,Dittelbrunn
182,"Dover, Delaware, USA"
183,Schenefeld
184,Oberried
185,Madrid/Spanien
186,Seligenstadt
187,Warschau
188,Potsdam
189,Garrel
190,"Menlo Park, Kalifornien, Vereinigte Staaten von Amerika"
191,München Landkreis
192,Ottenbach
193,Eislingen/Fils
194,Iserlohn
195,Lüdenscheid
196,Basel (Schweiz) Oberwil
197,Axel Spanger Plug and Play Charlottenburg Berlin
198,Oberwil
199,Naxxar (Malta)
200,Oldenburg
201,Wedel
202,Liineburg
203,Winningen
204,Ingelheim am Rhein
205,Nurnberg
206,"London, UK"
207,"Wien, Osterreich"
208,"Seattle, Washington, USA"
209,Monheim
210,"Paris, Frankreich"
211,"Tallinn, Estland"
212,Wien
213,Miilheim an der Ruhr
214,"Rom, Italien"
215,"Palo Alto, Kalifornien, USA"
216,"Menlo Park, Kalifornien, USA"
217,"Valbonne, Frankreich"
218,"Benicia, Kalifornien, USA"
219,K6nigstein im Taunus
220,Ahlen i. W.
221,Puchheim
222,"Adukkamparai, Vellore, Indien"
223,"Ramappa Lyt JP Nagar 7th Phase, Bengaluru, Indien"
